Stkcd,Year,Fn05601,Fn05602,var_5,var_6,Sum,test,Test
601991,2020.0,其他,2838000.0,399157000.0,0.0,399157000.0,1,1
002034,2015.0,土地使用税及地方水利建设基金退回,723807.0,6514612.66,0.0,5401020.0,0,0
600971,2012.0,在线监测系统运行补助费,20000.0,23367545.57,0.0,23367546.0,1,1
600478,2010.0,2010年省知识产权优势企业培育工程专项补助经费和知识产权事务专项补助经费,100000.0,15769620.0,0.0,15769620.0,1,1
001366,2022.0,企业电价补贴资金,84640.0,13608745.62,0.0,13608746.0,1,1
300355,2023.0,林草局2022年度草种繁育基地验收补助,150000.0,95477612.67,0.0,95477609.0,0,1
600847,2022.0,代扣个人所得税手续费返还,7819.0,4029790.25,0.0,4029791.0,0,1
002614,2022.0,政府补助其中：厦门市科学技术局补贴,2730100.0,71785638.77,35798991.88,71785637.0,0,1
831768,2020.0,计入其他收益的政府补助其中：与递延收益相关的政府补助,3095845.0,6091350.08,0.0,6091351.0,0,1
300408,2022.0,创业大赛陶瓷专业赛奖金,200000.0,212787760.9,0.0,212787763.0,0,1
300449,2018.0,收购金石威视中介费补贴,2000000.0,11552135.02,0.0,11552134.0,0,1
002300,2022.0,小微企业税收减免,7497.0,43155740.62,0.0,43155741.0,1,1
300012,2016.0,残疾人安置奖励,5000.0,25224966.82,0.0,25124967.0,0,1
002185,2018.0,大学生政府工资补助,7200.0,104073693.4,103761458.0,104073693.0,1,1
002571,2022.0,2016年凤阳县政府兑现惠企政策中大气污染防治技术改造项目奖励,46075.0,6138553.68,0.0,6138552.0,0,1
600219,2019.0,人才奖补贴,100000.0,56698425.92,0.0,52381761.0,0,0
301448,2023.0,金华市商务局2023年中央外经贸发展专项资金（推动服务贸易创新发展）,90200.0,8267295.46,0.0,8267297.0,0,1
002161,2012.0,基于物联网的RFID移动计算终端的研发,1312500.0,19239006.09,0.0,19239006.0,1,1
002435,2017.0,海口市科学技术工业信息化局设备资助确认,430495.0,22115541.29,0.0,22115541.0,1,1
600572,2023.0,东阳康恩贝公司技改奖励款,75000.0,29536525.62,0.0,29536526.0,1,1
002277,2017.0,长沙市自创知名品牌扶持资金,80000.0,2297943.49,0.0,2297944.0,0,1
600111,2019.0,华美稀土精矿硫酸焙烧尾气治理技术改进项目,100000.0,170071078.9,0.0,170071080.0,0,1
300269,2020.0,深圳市市场监督管理局-2018年第二批专利款,10000.0,31264095.33,50000.0,31264096.0,0,1
600470,2022.0,促进工业化发展奖补资金,149750.0,31885371.83,0.0,31885374.0,0,1
600850,2020.0,政府补助其中：其他,48.0,57098057.35,55381940.26,57098057.0,1,1
835185,2020.0,政府补助其中：黑龙江产业结构调整投资补助金,1900000.0,123980830.6,119243218.6,123980830.0,0,1
603283,2018.0,政府补助其中：上市报会奖励,2000000.0,9612020.28,0.0,9612021.0,0,1
300540,2017.0,郫县财政国库集中工业园区租赁标准厂奖励,116900.0,13421198.22,0.0,13421198.0,1,1
603725,2019.0,政府补助其中：禅经科促进局拨付2016-2017年企业研究开发经费投入补助,382200.0,12970910.67,9898507.69,12970910.0,0,1
600085,2015.0,GMP车间生产线改造设备,414286.0,16511202.83,0.0,16511202.0,0,1
000716,2022.0,省储粮费用补助,38613.0,23452169.91,11702726.1,23452168.0,0,1
603040,2022.0,政府补助其中：高新技术企业培育资金,610000.0,33528215.13,16762945.08,33528215.0,1,1
002611,2019.0,2018年浒墅关开发区先进企业奖励,30000.0,22854061.39,0.0,22854062.0,0,1
300036,2012.0,朝阳区科学技术委员会发放科学技术奖奖金,100000.0,17508032.8,0.0,17508032.0,0,1
002006,2011.0,先进集体奖励,3000.0,7976746.66,0.0,7976746.0,0,1
002171,2012.0,外贸企业政策促进资金,98000.0,33388979.38,0.0,33388979.0,1,1
000960,2019.0,8000吨／天选矿工程,100000.0,58066416.61,0.0,58066417.0,1,1
300422,2020.0,西南地区化工污染场地典型有机污染土壤修复技术集成及示范专项资金,1400000.0,45117946.99,0.0,45117947.0,1,1
600618,2021.0,政府补助其中：工会经费返还,3308.0,3362368.38,3255098.05,3362368.0,1,1
000876,2013.0,其他,407495.0,86745987.61,0.0,86745989.0,0,1
300886,2022.0,设备改造补助,149913.0,8986749.74,0.0,8986748.0,0,1
002147,2021.0,2020年专利补助款,133000.0,1043637861.0,0.0,1043637860.0,0,1
600685,2023.0,深海资源勘探核心装备专项试验及关键国产化装备研制,5000000.0,104211948.5,0.0,104211948.0,1,1
600650,2017.0,个人所得税返还,698476.0,16640432.89,0.0,16640434.0,0,1
300425,2022.0,政府补贴其中：与收益相关的政府补贴,8641329.0,35356617.69,12884661.93,34783033.0,0,0
300808,2018.0,与企业日常活动相关的政府补助其中：其他,61900.0,4952530.57,0.0,4952531.0,1,1
000732,2014.0,重置资产政府补助摊销2,182810.0,479954.17,0.0,479954.0,1,1
300257,2016.0,科技补助,6914027.0,11183056.75,0.0,11183057.0,1,1
600237,2017.0,工业转型补助,46600.0,22742333.43,0.0,22742333.0,1,1
300177,2020.0,财政金融局创新创业大赛省级奖励,100000.0,67793923.81,0.0,67793926.0,0,1
603800,2014.0,市级以上科技计划项目匹配经费,90000.0,4885145.87,0.0,4885146.0,1,1
002777,2021.0,成都高新区2021产业培育政策,300000.0,32898232.57,14670316.01,32898234.0,0,1
300274,2013.0,知识产权补贴,284000.0,30357491.22,0.0,30357491.0,1,1
603059,2021.0,新产品研发、知识产权保护奖2,6000.0,2619749.14,1470401.05,1149348.0,0,0
000423,2019.0,地方旅游开发项目,7376.0,50635417.02,0.0,25367708.0,0,0
430556,2021.0,政府补助其中：2020年度发明专利资助,22000.0,12299009.44,0.0,12299009.0,1,1
002209,2023.0,一次性扩岗补助,30000.0,23154956.68,0.0,23154957.0,1,1
002309,2018.0,2015年服务业发展引导资金,133333.0,99817377.73,0.0,99817376.0,0,1
300170,2012.0,软件集成电路增值税退税,1316.0,15697149.78,0.0,15697149.0,0,1
600259,2016.0,尾矿库治理专项资金,200000.0,68557684.11,0.0,68557682.0,0,1
002130,2022.0,工业企业防疫消杀支出补贴,220000.0,125184816.8,0.0,119851928.0,0,0
601009,2009.0,财政奖励贷款风险补偿,3337000.0,6458000.0,0.0,6458000.0,1,1
603367,2022.0,2022年度山东省重点研发计划（重大科技创新工程）第二批项目,8650400.0,47643293.89,0.0,33892893.0,0,0
000733,2015.0,年产12万只真空灭弧室生产线,150000.0,26916764.57,0.0,26757675.0,0,1
000938,2020.0,高新区知识产权示范优势或专利奖政策奖励,50000.0,1016405052.0,332000.0,1007092052.0,0,1
301212,2022.0,基础设施建设和劳动力培训费用补助,1172505.0,9559868.11,0.0,9559869.0,0,1
002830,2018.0,个税扣缴手续费返还,91458.0,2197589.58,0.0,2197590.0,1,1
835438,2023.0,以商招商政策奖励资金,100000.0,9087035.54,0.0,9087035.0,0,1
600889,2023.0,大丰区交通运输局粉尘在线监测系统建设补助金,26000.0,3317220.51,0.0,3317220.0,0,1
002343,2008.0,高尔夫手套革项目财政补助,150000.0,7345700.0,0.0,7345700.0,1,1
688247,2023.0,计入当期损益的政府补助(与资产相关)其中：海门区发展和改革委员会2017-2019年工业企业新增设备投入财政扶持资金,324163.0,6018723.86,0.0,6018724.0,1,1
603578,2022.0,与收益相关的政府补助,23966132.0,24294772.35,0.0,48389544.0,0,0
600872,2011.0,2010年广东省建设现代产业体学技术创新滚动项目,1000000.0,5028911.27,0.0,5028911.0,1,1
002657,2021.0,收滨江区科技局产业扶持资金,109997.0,4932654.25,0.0,4932654.0,1,1
300100,2010.0,宁海科技项目经费,197000.0,8577723.95,0.0,8577724.0,1,1
300534,2018.0,2018年第二批科技计划项目补助,200000.0,3729608.35,0.0,3729609.0,0,1
002982,2023.0,2019年度推动农商互联完善农产品供应链项目资金,136481.0,20272401.24,0.0,20272402.0,0,1
002027,2014.0,项目扶持资金,2170000.0,368521825.2,0.0,368521825.0,1,1
600071,2022.0,稳岗补贴,769814.0,22773272.69,9796088.54,22773274.0,0,1
300212,2021.0,高精尖项目光磁一体化云存储数据湖（一期）,2000000.0,77700146.64,0.0,77700146.0,0,1
